spin,type,state,area,isDead
0,0,q,-3502,False
1,2,q,26,False
2,2,q,21,False
3,2,q,24,False
4,2,q,31,False
5,2,q,26,False
6,2,q,29,False
7,2,q,21,False
8,2,q,26,False
9,2,q,23,False
10,2,q,27,False
11,2,q,28,False
12,2,q,17,False
13,2,q,20,False
14,2,q,17,False
15,2,q,24,False
16,2,q,26,False
17,2,q,32,False
18,2,q,31,False
19,2,q,30,False
20,2,q,21,False
21,2,q,24,False
22,2,q,22,False
23,2,q,30,False
24,2,q,19,False
25,2,q,22,False
26,2,q,22,False
27,2,q,26,False
28,2,q,26,False
29,2,q,30,False
30,2,q,34,False
31,2,q,27,False
32,2,q,30,False
33,2,q,20,False
34,2,q,28,False
35,2,q,24,False
36,2,q,23,False
37,2,q,27,False
38,2,q,22,False
39,2,q,19,False
40,2,q,24,False
41,2,q,32,False
42,2,q,34,False
43,2,q,27,False
44,2,q,27,False
45,2,q,23,False
46,2,q,18,False
47,2,q,20,False
48,2,q,19,False
49,2,q,23,False
50,2,q,20,False
51,2,q,24,False
52,2,q,26,False
53,2,q,36,False
54,2,q,29,False
55,2,q,23,False
56,2,q,21,False
57,2,q,26,False
58,2,q,25,False
59,2,q,19,False
60,2,q,20,False
61,2,q,21,False
62,2,q,22,False
63,2,q,19,False
64,2,q,25,False
65,2,q,30,False
66,2,q,32,False
67,2,q,30,False
68,2,q,23,False
69,2,q,23,False
70,2,q,24,False
71,2,q,16,False
72,2,q,20,False
73,2,q,23,False
74,2,q,20,False
75,2,q,24,False
76,2,q,19,False
77,2,q,31,False
78,2,q,34,False
79,2,q,26,False
80,2,q,29,False
81,1,q,12,False
82,2,q,21,False
83,2,q,21,False
84,2,q,18,False
85,2,q,11,False
86,2,q,22,False
87,2,q,23,False
88,2,q,22,False
89,2,q,26,False
90,2,q,27,False
91,2,q,22,False
92,2,q,24,False
93,2,q,25,False
94,2,q,16,False
95,2,q,19,False
96,2,q,20,False
97,2,q,19,False
98,2,q,21,False
99,2,q,19,False
100,2,q,21,False
101,2,q,25,False
102,2,q,29,False
103,2,q,26,False
104,2,q,22,False
105,2,q,18,False
106,2,q,20,False
107,2,q,20,False
108,2,q,23,False
109,2,q,16,False
110,2,q,25,False
111,2,q,24,False
112,2,q,23,False
113,2,q,31,False
114,2,q,31,False
115,2,q,27,False
116,2,q,20,False
117,2,q,21,False
118,2,q,22,False
119,2,q,23,False
120,2,q,22,False
121,2,q,20,False
122,2,q,27,False
123,2,q,22,False
124,2,q,25,False
125,2,q,26,False
126,2,q,31,False
127,2,q,23,False
128,2,q,18,False
129,2,q,23,False
130,2,q,20,False
131,2,q,18,False
132,2,q,15,False
133,2,q,21,False
134,2,q,23,False
135,2,q,19,False
136,2,q,21,False
137,2,q,22,False
138,2,q,30,False
139,2,q,27,False
140,2,q,17,False
141,2,q,20,False
142,2,q,13,False
143,2,q,19,False
144,2,q,17,False
145,2,q,23,False
146,2,q,17,False
147,2,q,22,False
148,2,q,22,False
149,2,q,19,False
150,2,q,23,False
