spin,type,state,area,isDead
0,0,q,-3195,False
1,2,q,22,False
2,2,q,30,False
3,2,q,25,False
4,2,q,26,False
5,2,q,24,False
6,2,q,35,False
7,2,q,29,False
8,2,q,36,False
9,2,q,24,False
10,2,q,29,False
11,2,q,38,False
12,2,q,26,False
13,2,q,17,False
14,2,q,19,False
15,2,q,25,False
16,2,q,22,False
17,2,q,24,False
18,2,q,30,False
19,2,q,20,False
20,1,q,8,False
21,2,q,25,False
22,2,q,26,False
23,2,q,23,False
24,2,q,22,False
25,2,q,20,False
26,2,q,24,False
27,2,q,23,False
28,2,q,24,False
29,2,q,25,False
30,2,q,26,False
31,2,q,30,False
32,2,q,26,False
33,2,q,24,False
34,2,q,29,False
35,1,q,10,False
36,2,q,25,False
37,2,q,19,False
38,2,q,10,False
39,2,q,24,False
40,2,q,18,False
41,1,q,19,False
42,2,q,27,False
43,2,q,18,False
44,2,q,20,False
45,1,q,27,False
46,1,q,8,False
47,2,q,22,False
48,2,q,21,False
49,2,q,17,False
50,2,q,27,False
51,2,q,19,False
52,2,q,23,False
53,2,q,30,False
54,2,q,23,False
55,2,q,16,False
56,2,q,16,False
57,1,q,17,False
58,2,q,13,False
59,2,q,24,False
60,1,q,14,False
61,2,q,18,False
62,1,q,9,False
63,1,q,16,False
64,2,q,21,False
65,2,q,27,False
66,2,q,30,False
67,2,q,34,False
68,1,q,5,False
69,2,q,32,False
70,2,q,20,False
71,2,q,15,False
72,2,q,27,False
73,2,q,24,False
74,2,q,23,False
75,2,q,23,False
76,2,q,18,False
77,2,q,24,False
78,2,q,27,False
79,2,q,20,False
80,2,q,20,False
81,2,q,22,False
82,2,q,27,False
83,2,q,15,False
84,2,q,18,False
85,2,q,18,False
86,2,q,20,False
87,2,q,24,False
88,2,q,16,False
89,1,q,6,False
90,2,q,27,False
91,2,q,22,False
92,2,q,15,False
93,2,q,10,False
94,2,q,13,False
95,2,q,26,False
96,2,q,28,False
97,2,q,20,False
98,2,q,20,False
99,2,q,18,False
100,2,q,28,False
101,2,q,28,False
102,1,q,23,False
103,2,q,18,False
104,2,q,16,False
105,2,q,19,False
106,2,q,16,False
107,2,q,31,False
108,2,q,24,False
109,1,q,13,False
110,2,q,26,False
111,2,q,22,False
112,2,q,23,False
113,2,q,17,False
114,2,q,26,False
115,2,q,12,False
116,2,q,22,False
117,1,q,11,False
118,2,q,14,False
119,2,q,8,False
120,2,q,17,False
121,2,q,23,False
122,2,q,9,False
123,2,q,18,False
124,2,q,25,False
125,2,q,27,False
126,2,q,33,False
127,2,q,22,False
128,2,q,21,False
129,2,q,25,False
130,1,q,26,False
131,1,q,16,False
132,1,q,16,False
133,2,q,15,False
134,1,q,19,False
135,2,q,21,False
136,2,q,20,False
137,2,q,21,False
138,2,q,31,False
139,2,q,15,False
140,2,q,26,False
141,2,q,9,False
142,2,q,19,False
143,2,q,21,False
144,2,q,21,False
145,2,q,17,False
146,2,q,20,False
147,2,q,21,False
148,1,q,25,False
149,1,q,18,False
150,2,q,20,False
